Lat,Lng,Distance (meters),Distance (feet),Distance (miles),Elevation (meters),Elevation (feet),Slope (degrees),Aspect (degrees),Landcover,Canopy (percent),Linear Grade (percent)
36.7734049858988,-118.34232330322267,0,0,0.0,2849,9347,20,116,Developed,21,-13.15
36.77363588434429,-118.3421490882205,30,99,0.01866166090143211,2845,9334,17,87,Shrub,30,-14.6
36.77387177386532,-118.34213004699426,56,185,0.03501235017104183,2844,9331,14,56,Shrub,25,8.45
36.77403590375037,-118.34240016900088,87,284,0.05379748774929966,2847,9341,26,80,Shrub,22,25.95
36.77421412761555,-118.34264916251092,116,382,0.07229874706115286,2853,9360,20,87,Shrub,28,22.94
36.774439439031845,-118.34284217349085,147,482,0.09119978460256181,2858,9377,16,80,Shrub,21,17.29
36.774676149538436,-118.3430139795037,177,582,0.11013915105960898,2864,9396,19,87,Forest,20,20.54
36.77491286013735,-118.34318578558356,208,682,0.12907851013067412,2869,9413,24,95,Shrub,15,16.41
36.775174659627375,-118.34326412866015,238,780,0.1477002832100201,2873,9426,20,92,Forest,25,14.15
36.77528805254598,-118.3432768006216,250,821,0.15557509882898896,2876,9436,19,79,Forest,25,11.79
36.77505397494218,-118.34344474343627,280,920,0.17424963856948228,2879,9446,21,89,Shrub,15,4.4
36.77478375310644,-118.34346348522502,311,1019,0.19296986440754532,2880,9449,23,89,Shrub,15,3.46
36.77452014266308,-118.34347553086175,340,1115,0.21121616450438613,2882,9455,25,85,Shrub,0,8.97
36.77427386944133,-118.34352357701879,368,1206,0.22845777075897447,2884,9462,29,80,Shrub,17,1.27
36.77401723524716,-118.34341547060836,398,1305,0.24719260073947158,2890,9482,28,70,Shrub,28,37.9
36.77388982586231,-118.34369145732671,426,1398,0.2648417432887468,2897,9505,20,95,Forest,30,30.05
36.773833643574626,-118.34402255420886,456,1497,0.28359359013859897,2904,9528,22,150,Shrub,21,23.15
36.77385151843746,-118.34436284164016,487,1597,0.30248804419966,2909,9544,28,170,Shrub,20,8.18
36.77382008546022,-118.344646704649,512,1681,0.3183653267250227,2910,9547,29,166,Shrub,20,-12.42
36.77365880440174,-118.34484843734498,538,1764,0.3341572329150572,2910,9547,19,139,Shrub,15,-4.02
36.77349920927347,-118.34512022592186,568,1863,0.35282892914232555,2908,9541,12,122,Shrub,15,-9.34
36.77323539989594,-118.34510922228003,597,1959,0.3710869618541307,2907,9537,18,110,Shrub,11,-6.87
36.77301118606211,-118.34497793882181,625,2050,0.38821704153997005,2906,9534,20,34,Shrub,14,4.68
36.772826906501585,-118.3447251387882,655,2150,0.40715561322111166,2908,9541,18,26,Shrub,14,9.83
36.77262725149234,-118.34449506022807,686,2249,0.42595009143472723,2911,9551,18,35,Shrub,22,14.2
36.77237656215214,-118.34439681465079,715,2345,0.4441247605687141,2915,9564,17,56,Shrub,7,22.53
36.77211503925626,-118.34449804932015,745,2445,0.4630641181140868,2923,9590,26,69,Shrub,0,35.57
36.77187418310525,-118.34466035548843,776,2545,0.4819964748245274,2932,9619,34,91,Shrub,0,32.36
36.77169286946744,-118.34491406226546,806,2644,0.5008351917602187,2938,9639,19,127,Shrub,14,16.97
36.77188765762251,-118.34483279974172,829,2719,0.5150412177623267,2940,9646,18,97,Shrub,0,-10.55
36.77215358611724,-118.34479679305862,859,2817,0.5335435220108632,2938,9639,33,57,Shrub,0,-20.7
36.7723822092771,-118.34497378874497,889,2915,0.5521514850306328,2939,9642,34,34,Forest,18,21.11
36.772202728731784,-118.3450137796739,909,2982,0.5647624460800058,2942,9652,25,41,Shrub,18,21.22
36.77194807717451,-118.3451241414703,939,3080,0.5834080451530393,2949,9675,17,85,Shrub,0,33.06
36.7718129299532,-118.3454212101404,969,3180,0.602337231936055,2957,9701,17,79,Shrub,0,27.86
36.77170773479013,-118.3457367956296,1000,3280,0.6212765887217454,2964,9724,14,114,Shrub,27,37.84
36.77174544890359,-118.34590455996221,1015,3331,0.6309311144483488,2965,9728,23,112,Shrub,27,-13.17
36.77192457167502,-118.34566085664994,1045,3428,0.6492571362054675,2968,9738,17,69,Shrub,15,14.66
36.77187863211476,-118.34592568162887,1069,3507,0.6642705316821778,2973,9754,27,86,Shrub,15,27.46
36.77177887933089,-118.34623668100367,1099,3605,0.6828323226950425,2979,9774,26,143,Shrub,16,23.45
36.77170003412192,-118.34656251425542,1129,3705,0.7016917027034207,2985,9793,40,151,Shrub,26,19.85
36.77162633198612,-118.34689171712864,1160,3805,0.7206310595779811,2989,9806,37,155,Shrub,26,5.53
36.7715111982404,-118.34720138386102,1190,3905,0.7395471003538884,2991,9813,29,151,Shrub,28,1.3
36.77139217048372,-118.34750921426621,1221,4005,0.7584864517260005,2994,9823,18,148,Shrub,38,10.05
36.771296542799305,-118.34782765760552,1251,4104,0.7773298162252463,2998,9836,19,114,Shrub,18,15.31
36.771188563994784,-118.34813372840992,1281,4202,0.7958604319550275,3001,9846,18,137,Shrub,25,18.9
36.77112607680808,-118.34826612430457,1295,4247,0.8043748750300632,3004,9856,21,124,Shrub,25,24.76
36.771090866737595,-118.34836770905221,1304,4279,0.8105078053282616,3007,9865,26,116,Shrub,18,19.68
36.77127419889632,-118.34839790055184,1325,4347,0.8232988607451879,3009,9872,23,109,Shrub,23,3.21
36.77146971337557,-118.34824571656105,1351,4431,0.8392361170020736,3012,9882,16,122,Shrub,23,13.74
36.77133623395951,-118.34853901283239,1381,4530,0.8579266682971066,3016,9895,20,92,Shrub,23,14.39
36.771092208220836,-118.3486869479448,1411,4629,0.8766910319675169,3018,9902,28,109,Shrub,17,-1.13
36.77082373224352,-118.34875406693912,1441,4729,0.8956303883114628,3020,9908,29,91,Shrub,16,10.72
36.77055529286541,-118.34881860529346,1472,4829,0.9145397036448557,3021,9911,32,82,Shrub,11,-1.74
36.770288981087354,-118.34873935160105,1502,4929,0.9334768332907435,3021,9911,30,88,Shrub,13,-6.59
36.77019743098866,-118.34873956229897,1512,4962,0.9398094185758736,3024,9921,30,91,Shrub,13,19.77
36.77040289132152,-118.3489263745114,1541,5055,0.9573911885197822,3028,9934,31,89,Shrub,11,92.8
36.770408769644206,-118.34898867509884,1546,5073,0.9608670324964982,3032,9948,32,90,Shrub,11,9.92
36.770138850056405,-118.34902030800453,1577,5172,0.9796196205414079,3036,9961,31,94,Shrub,13,43.04
36.77010551092025,-118.34913463834913,1587,5208,0.9863611997771616,3040,9974,33,96,Shrub,13,28.09
36.77000591573268,-118.34920020480018,1600,5249,0.9941494900326762,3046,9993,32,102,Shrub,21,48.1
36.770094789428256,-118.34935901458707,1617,5306,1.0048836106546797,3051,10010,33,104,Shrub,21,34.02
36.770235423461,-118.349364576539,1633,5357,1.0146162303884463,3057,10030,33,101,Shrub,13,16.93
36.77002476890797,-118.34957058759844,1663,5455,1.0331260798726536,3060,10039,19,116,Shrub,17,7.15
36.76982526988576,-118.3497090249592,1688,5538,1.0489141797783461,3063,10049,16,108,Shrub,21,7.85
36.7700928188054,-118.34972184916742,1718,5636,1.0674343334601573,3066,10059,14,120,Shrub,21,10.29
36.77028981447117,-118.34972024737178,1740,5708,1.0810609293202909,3068,10066,16,116,Shrub,0,7.53
36.77010969130268,-118.34996987831443,1770,5806,1.0996767375036858,3071,10075,15,129,Shrub,0,13.54
36.77012121422601,-118.35029697138081,1799,5902,1.117818046141585,3075,10089,14,156,Shrub,0,14.15
36.77034842368812,-118.35015465864214,1827,5995,1.135401505604836,3078,10098,14,134,Shrub,0,9.52
36.770547036484906,-118.35007786051173,1850,6071,1.1497835930237863,3080,10105,14,109,Shrub,10,2.82
36.7708099804363,-118.35001110676362,1880,6169,1.1683438566114996,3082,10112,16,96,Shrub,12,7.2
36.771025108066794,-118.35020133105009,1910,6265,1.1865789953494252,3084,10118,10,66,Shrub,16,11.89
36.771091623032625,-118.35038305204924,1927,6324,1.1976491677051258,3086,10125,11,70,Shrub,16,6.69
36.77083149575778,-118.35046598303114,1957,6422,1.2162197938078843,3089,10135,8,106,Shrub,17,11.77
36.770990803014755,-118.35072240904424,1986,6517,1.234200230496827,3093,10148,12,99,Shrub,0,18.43
36.77115790853708,-118.35096474512224,2015,6610,1.2519174350377726,3097,10161,14,107,Shrub,0,17.94
