Lat,Lng,Distance (meters),Distance (feet),Distance (miles),Elevation (meters),Elevation (feet),Slope (degrees),Aspect (degrees),Landcover,Canopy (percent)
37.22718471735277,-118.62762451171876,0,0,0.0,2854,9364,7,77,Forest,63
37.22733868759569,-118.62755919531232,18,59,0.011241367051789892,2854,9364,7,60,Forest,63
37.22712517237931,-118.62773758618965,47,153,0.02897992079261504,2854,9364,5,94,Forest,51
37.226878040452156,-118.62778103160812,74,244,0.04624084273713455,2855,9367,7,111,Forest,46
37.2267152403368,-118.62804847125904,104,342,0.06478201239929851,2856,9370,7,115,Forest,57
37.22662052419104,-118.62832317205974,131,429,0.08126929801933706,2858,9377,7,107,Forest,59
37.22645547299165,-118.62855449842854,158,519,0.09837684694446862,2859,9380,7,114,Forest,70
37.22619762704092,-118.62860627117348,187,615,0.11643871308087704,2858,9377,6,114,Forest,63
37.22596761887466,-118.6284614264959,216,709,0.1342366052266204,2858,9377,5,59,Forest,63
37.22587136194296,-118.62816349813725,245,802,0.1519451154661059,2858,9377,10,12,Forest,63
37.22574881041754,-118.6280000371503,264,868,0.1643109389439725,2860,9383,14,346,Forest,63
37.22560504438693,-118.62795555429236,281,922,0.17455268138555183,2863,9393,12,338,Forest,63
37.22537523434253,-118.62811337308179,310,1017,0.1926701390848007,2867,9406,22,333,Forest,63
37.225167225822105,-118.62833698224125,341,1117,0.21160949258463344,2874,9429,32,330,Forest,56
37.22493583324827,-118.62844388883218,368,1207,0.22866379123048097,2880,9449,20,339,Forest,61
37.22492932344963,-118.62816274420541,393,1289,0.24415528867099656,2885,9465,17,329,Forest,61
37.2247162490811,-118.62837350036756,423,1388,0.26291617054501076,2890,9482,18,332,Forest,61
37.22472634624955,-118.62808630173097,449,1472,0.2787500221862568,2895,9498,25,328,Forest,51
37.22447651452571,-118.62822464729905,479,1572,0.2976364081783749,2900,9514,25,323,Forest,61
37.224288782061336,-118.62847495725156,509,1672,0.3165757565444928,2906,9534,22,340,Forest,65
37.22408653504388,-118.62870106555985,540,1770,0.33530551395204033,2913,9557,19,337,Forest,53
37.22389141608373,-118.62864320279812,562,1844,0.3491731900550479,2920,9580,22,340,Forest,54
37.22388002462867,-118.62834002873343,589,1932,0.36589029670434475,2925,9596,25,326,Forest,51
37.22368457848381,-118.6285807872253,619,2032,0.38482741440195956,2929,9610,18,322,Forest,54
37.223489133096194,-118.62882160386363,650,2132,0.40376676158660985,2933,9623,16,349,Forest,60
37.22328437198685,-118.6290418760044,680,2230,0.42241614771591623,2937,9636,10,344,Forest,63
37.22313424331697,-118.62885081105657,704,2308,0.43720084172490187,2941,9649,15,332,Forest,63
37.22292549404519,-118.62887304707859,727,2385,0.4516920014761261,2947,9669,17,325,Forest,66
37.222814959618226,-118.62869443547072,747,2451,0.4641515819203415,2951,9682,16,324,Forest,54
37.22260289509205,-118.62886298214039,775,2542,0.4815110912451521,2956,9698,16,331,Forest,71
37.222379407769985,-118.62906163753779,805,2642,0.5004504446791438,2962,9718,17,70,Forest,62
37.222188177896214,-118.62906103302242,827,2712,0.513677970162892,2967,9734,18,249,Forest,60
37.22202939090326,-118.62933060909674,856,2810,0.5321470750110737,2972,9751,14,333,Forest,57
37.22178899507752,-118.62944165483293,885,2903,0.5498646377331993,2976,9764,9,113,Forest,67
37.221516932945505,-118.6294520857974,915,3003,0.5686921049796049,2981,9780,13,8,Forest,52
37.221404950802025,-118.6297414344924,944,3096,0.586412264577047,2985,9793,12,26,Forest,68
37.22150109274057,-118.63005655644339,974,3194,0.604999793486709,2988,9803,15,37,Forest,70
37.22140174119362,-118.63018724706454,990,3247,0.6149519898373483,2991,9813,12,34,Forest,54
37.22129506801498,-118.63020063480647,1002,3286,0.6223673928181517,2995,9826,12,36,Forest,28
37.22115159361354,-118.630320619343,1021,3349,0.6342907728801317,2999,9839,14,34,Forest,26
37.22088623368504,-118.6302968122491,1050,3446,0.6526926581481242,3004,9856,19,48,Shrub,20
37.2206151434217,-118.63025590822376,1081,3546,0.6715790023352171,3009,9872,17,54,Forest,26
37.220344253611024,-118.6302075804678,1111,3646,0.6905047528522924,3013,9885,9,41,Forest,24
37.22016827142865,-118.63022925714372,1131,3710,0.7027359614661409,3016,9895,8,48,Forest,24
37.22019138364603,-118.6305698427611,1161,3810,0.7215639956309354,3018,9902,9,51,Forest,26
37.22036019323112,-118.6308293104899,1191,3907,0.7400194290353591,3021,9911,8,59,Forest,24
