Lat,Lng,Distance (meters),Distance (feet),Distance (miles),Elevation (meters),Elevation (feet),Slope (degrees),Aspect (degrees),Landcover,Canopy (percent),Linear Grade (percent)
36.79630430228594,-118.58357191085815,0,0,0.0,1540,5052,2,228,Shrub,22,7.84
36.79639871554805,-118.58325095178546,30,100,0.018939381005368846,1542,5059,5,221,Shrub,14,7.72
36.79649312886144,-118.58292999253848,61,200,0.03787875172672319,1544,5066,4,211,Shrub,36,7.79
36.796587542226085,-118.58260903311721,91,300,0.05681811216404819,1546,5072,6,195,Shrub,48,9.37
36.796757162328426,-118.582691242043,112,366,0.06940346987201944,1548,5079,6,202,Shrub,48,5.32
36.796955436088204,-118.5829270573238,142,466,0.08834284980629172,1550,5085,8,192,Shrub,34,6.98
36.79715370997004,-118.58316287274975,173,566,0.1072822180814572,1553,5095,10,195,Shrub,17,8.95
36.79734714080753,-118.58335405306283,200,657,0.12434534349595958,1556,5105,9,198,Shrub,20,13.57
36.79748801309691,-118.58306084679779,231,757,0.14328471532487402,1559,5115,11,191,Shrub,15,13.61
36.797628885481544,-118.5827676403345,261,857,0.16222407434779196,1563,5128,12,160,Forest,17,14.5
36.797741790517556,-118.58301368459945,286,939,0.17793127443543708,1566,5138,16,184,Shrub,19,8.97
36.797851199660805,-118.58332713579554,317,1039,0.19687064091152748,1570,5151,17,179,Shrub,23,24.92
36.79796734093234,-118.58350754889693,337,1107,0.20969228813109334,1575,5167,25,162,Shrub,25,16.35
36.798107476536025,-118.5832137890049,368,1207,0.22863171794368037,1580,5184,26,172,Shrub,17,18.87
36.798247612234334,-118.58292002891454,398,1307,0.2475711349686721,1585,5200,21,179,Shrub,16,15.24
36.79838774802725,-118.58262626862584,429,1407,0.26651053920611856,1590,5217,27,158,Shrub,33,15.04
36.798527883914794,-118.58233250813882,459,1507,0.2854499306557233,1595,5233,31,166,Shrub,19,16.48
36.79866801989695,-118.58203874745344,490,1607,0.30438930931846425,1601,5253,30,164,Shrub,27,24.13
36.79880815597372,-118.58174498656972,520,1707,0.32332867519329034,1608,5276,31,167,Shrub,20,49.51
36.79892373605215,-118.5816714816089,535,1755,0.33230036743299735,1615,5299,30,161,Shrub,20,27.97
36.79899428577102,-118.58200187705464,565,1855,0.35123973781506757,1623,5325,33,176,Shrub,13,26.64
36.79906483552023,-118.58233227264246,596,1955,0.37017910005440274,1632,5354,31,163,Shrub,13,56.34
36.79919524822638,-118.58242583759596,612,2009,0.380582473631687,1641,5384,32,159,Shrub,13,36.6
36.79940490324546,-118.58220590284834,643,2109,0.39952183786443485,1652,5420,31,174,Shrub,18,66.73
36.79954654770806,-118.58219946655353,659,2161,0.4093259525490277,1661,5449,29,172,Shrub,24,24.75
36.799577932536145,-118.58253915647128,689,2261,0.42826531743812163,1667,5469,28,163,Shrub,18,12.49
36.79960931737057,-118.5828788464577,720,2361,0.44720467849672874,1671,5482,33,186,Shrub,23,5.12
36.799653833557194,-118.58315946716928,745,2445,0.46304958809579966,1677,5502,34,171,Shrub,23,30.45
36.79982094811788,-118.58288859794744,776,2545,0.4819889941291312,1685,5528,33,182,Shrub,21,32.01
36.79998806279297,-118.58261772854016,806,2645,0.5009283871976854,1693,5554,30,158,Shrub,19,21.46
36.80015517758246,-118.58234685894746,837,2745,0.5198677672997586,1699,5574,27,156,Shrub,29,16.55
36.80032229248636,-118.58207598916933,867,2845,0.5388071344367644,1706,5597,27,155,Shrub,19,30.03
36.800517545440556,-118.5818809564274,895,2936,0.5561014637046394,1717,5633,30,175,Shrub,19,44.49
36.80079105625199,-118.5818968438634,925,3036,0.5750408214098159,1729,5673,28,177,Shrub,23,47.71
36.80106456706447,-118.58191273129944,956,3136,0.5939801790417207,1739,5705,19,158,Shrub,17,57.69
36.80106318972843,-118.5820393531207,967,3173,0.600993939493649,1742,5715,25,149,Shrub,17,-9.79
36.800848663037605,-118.58225183878233,998,3273,0.6199332893154964,1741,5712,29,154,Shrub,25,-20.26
36.800672258404575,-118.58249373016818,1027,3369,0.6380546212564328,1740,5709,31,145,Shrub,25,2.13
36.80061616554639,-118.58282842552242,1057,3469,0.6569939504644415,1741,5712,32,148,Shrub,22,6.89
36.80056007270788,-118.58316312075925,1088,3569,0.6759332863176328,1742,5715,33,171,Shrub,22,4.07
36.80050397988906,-118.58349781587866,1118,3669,0.6948726288152052,1744,5722,36,169,Shrub,23,6.13
36.80044788708991,-118.58383251088063,1149,3769,0.713811977956458,1749,5738,35,130,Shrub,17,30.71
36.80039179431044,-118.58416720576518,1179,3869,0.7327513337428003,1756,5761,36,137,Shrub,21,52.19
36.80054212456617,-118.58412064750985,1196,3926,0.7434647433768988,1763,5784,36,125,Shrub,21,17.54
36.800769945419724,-118.58393096805898,1227,4026,0.7624041232674516,1771,5810,35,155,Forest,26,36.62
36.80099776637754,-118.58374128852131,1257,4126,0.781343494490582,1783,5850,34,167,Shrub,22,46.73
36.80122558743962,-118.58355160889684,1288,4226,0.8002828570458013,1794,5886,32,157,Shrub,23,90.83
36.80133039940872,-118.58358612760358,1300,4265,0.8077806125000184,1801,5909,31,154,Shrub,23,9.28
36.80127100244902,-118.58391993594472,1330,4365,0.8267199638997916,1806,5925,31,158,Shrub,17,10.82
36.80124432488908,-118.58419386707746,1355,4446,0.842003761704774,1812,5945,33,147,Shrub,17,22.04
36.8014715709268,-118.58400311319836,1386,4546,0.8609431498903805,1820,5971,32,163,Shrub,25,37.56
36.80169881706943,-118.58381235923122,1416,4646,0.8798825293314084,1829,6001,31,154,Shrub,27,29.9
36.80192606331697,-118.58362160517598,1447,4746,0.8988219000290939,1836,6024,30,136,Shrub,17,15.37
36.802153309669436,-118.58343085103269,1477,4846,0.9177612619828543,1842,6043,30,129,Shrub,20,48.21
36.80222602210609,-118.58349998289401,1487,4879,0.9240824155042867,1849,6066,31,128,Shrub,20,26.09
36.802145499508946,-118.58382681624316,1518,4979,0.9430217557147662,1855,6086,31,135,Shrub,26,19.64
36.802064976950476,-118.58415364943535,1548,5079,0.9619611050210867,1860,6102,30,162,Shrub,21,14.29
36.80201233985656,-118.58443636568549,1574,5164,0.9780372398969757,1866,6122,31,151,Shrub,36,24.84
36.80224819394823,-118.58426266776812,1604,5264,0.9969767008607057,1874,6148,30,156,Shrub,36,31.17
36.80248404813361,-118.58408896978172,1635,5364,1.0159161542998543,1881,6171,32,132,Shrub,19,17.43
36.80271990241269,-118.58391527172631,1665,5464,1.034855600213955,1886,6188,33,123,Shrub,19,8.59
36.80295575678548,-118.5837415736019,1696,5564,1.0537950386029415,1889,6198,31,124,Shrub,18,5.02
36.803191611251975,-118.58356787540846,1726,5664,1.0727344694671477,1891,6204,30,124,Shrub,17,3.22
36.80342746581218,-118.583394177146,1757,5764,1.0916738928065068,1892,6207,28,117,Shrub,15,-0.71
36.803663320466086,-118.58322047881454,1787,5864,1.1106133086205527,1892,6207,27,119,Shrub,19,0.84
36.8038991752137,-118.58304678041405,1818,5964,1.1295527169096191,1894,6214,25,131,Shrub,23,7.06
36.80413503005503,-118.58287308194456,1848,6064,1.148492117673663,1896,6220,25,132,Shrub,22,9.28
36.80437088499007,-118.58269938340605,1879,6164,1.1674315109126183,1898,6227,23,127,Shrub,18,8.15
36.804606740018826,-118.58252568479853,1909,6264,1.186370896626818,1899,6230,26,123,Shrub,19,2.55
36.80484259514129,-118.58235198612198,1940,6364,1.2053102748157727,1899,6230,28,114,Shrub,18,-9.31
36.80507845035746,-118.58217828737642,1970,6464,1.2242496454794396,1896,6220,33,88,Shrub,19,-16.43
36.80531430566735,-118.58200458856186,2001,6564,1.2431890086177524,1894,6214,29,115,Shrub,26,-3.53
36.805461538094946,-118.58196084282326,2018,6619,1.2536573822832338,1898,6227,27,117,Shrub,26,30.8
36.8053617632001,-118.58227929859885,2048,6719,1.272596687077376,1907,6257,34,102,Shrub,24,46.76
36.80526198836162,-118.58259775419451,2079,6819,1.2915360025717662,1918,6293,23,124,Shrub,19,38.68
36.80516221357952,-118.58291620961026,2109,6919,1.3104753287670547,1928,6325,25,111,Shrub,16,35.57
36.80506243885378,-118.58323466484607,2139,7019,1.3294146656620518,1939,6362,24,110,Shrub,17,33.45
36.80496266418442,-118.58355311990198,2170,7119,1.3483540132576033,1949,6394,28,117,Shrub,13,39.42
36.80488714291226,-118.58385246825787,2198,7211,1.3657364910978145,1959,6427,31,115,Shrub,33,29.92
36.80516023335117,-118.58387718407101,2228,7311,1.384675850041532,1966,6450,28,100,Shrub,19,12.74
36.80543332379262,-118.58390189988437,2259,7411,1.403615208808765,1973,6473,29,100,Shrub,24,23.65
36.80570641423662,-118.58392661569796,2289,7511,1.4225545673996265,1981,6499,30,129,Shrub,22,31.28
36.80597950468316,-118.5839513315118,2320,7611,1.4414939258141153,1990,6529,30,115,Shrub,22,30.4
36.80625259513224,-118.58397604732586,2350,7711,1.4604332840521734,1998,6555,30,105,Shrub,15,25.09
36.80652568558387,-118.58400076314014,2381,7811,1.4793726421137434,2007,6585,31,108,Shrub,9,28.23
36.80679877603804,-118.58402547895466,2411,7911,1.4983119999989374,2016,6614,32,116,Shrub,8,30.95
36.80707186649476,-118.58405019476939,2442,8011,1.517251357707641,2023,6637,31,110,Shrub,18,19.37
36.80734222982438,-118.58403431262614,2472,8110,1.5359732227651868,2026,6647,33,92,Shrub,19,-7.53
36.80760820519507,-118.58395310810738,2502,8210,1.554912588582018,2031,6663,31,108,Shrub,15,23.48
36.80787418059182,-118.58387190358067,2533,8310,1.5738519525440202,2039,6690,33,147,Shrub,12,37.77
36.80814015601461,-118.583790699046,2563,8410,1.5927913146513677,2047,6716,28,139,Forest,14,29.18
36.80840613146344,-118.58370949450338,2594,8510,1.6117306749035707,2053,6736,26,110,Forest,18,10.59
36.80867210693833,-118.58362828995283,2624,8610,1.6306700333011994,2056,6745,30,101,Forest,23,2.1
36.808942273288096,-118.58360488236278,2654,8709,1.649402507879654,2056,6745,32,75,Forest,30,-11.54
36.8092156017064,-118.58362508358012,2685,8809,1.6683418678009871,2059,6755,25,109,Shrub,21,20.49
36.8094889301264,-118.58364528479757,2715,8909,1.6872812276040312,2065,6775,22,137,Shrub,16,27.18
36.809762258548105,-118.58366548601515,2746,9009,1.706220587289323,2074,6804,29,124,Shrub,9,38.36
36.8100355869715,-118.58368568723284,2776,9109,1.7251599468558336,2085,6841,29,146,Shrub,10,47.54
36.81030891539661,-118.58370588845068,2807,9209,1.7440993063051278,2098,6883,24,140,Shrub,8,43.2
36.81058224382342,-118.58372608966864,2837,9309,1.7630386656361765,2109,6919,24,126,Shrub,7,34.31
36.81085557225193,-118.58374629088672,2868,9409,1.7819780248494232,2119,6952,24,121,Shrub,19,27.34
36.81112890068215,-118.58376649210494,2898,9509,1.8009173839449608,2127,6978,23,115,Shrub,23,22.0
36.811402229114066,-118.58378669332328,2929,9609,1.8198567429222046,2133,6998,22,107,Shrub,27,12.44
36.81167555754768,-118.58380689454174,2959,9709,1.8387961017812005,2138,7014,23,90,Shrub,22,9.77
36.811948885983,-118.58382709576034,2990,9809,1.857735460522485,2142,7028,23,109,Forest,29,11.31
36.812222214420025,-118.58384729697906,3020,9909,1.8766748191459643,2146,7041,23,98,Forest,53,12.28
36.81249554285875,-118.58386749819789,3051,10009,1.8956141776511473,2150,7054,24,109,Forest,40,14.79
36.81276887129917,-118.58388769941686,3081,10109,1.9145535360381263,2154,7067,24,101,Shrub,51,13.33
36.813042199741304,-118.58390790063595,3112,10209,1.9334928943077887,2159,7083,23,103,Forest,40,16.28
36.81331552818513,-118.58392810185516,3142,10309,1.9524322524587086,2164,7100,25,115,Forest,48,18.9
36.813588856630666,-118.58394830307452,3173,10409,1.971371610492404,2169,7116,29,118,Forest,50,19.63
