Lat,Lng,Distance (meters),Distance (feet),Distance (miles),Elevation (meters),Elevation (feet),Slope (degrees),Aspect (degrees),Landcover,Canopy (percent),Linear Grade (percent)
37.681307019162766,-119.08604621887207,0,0,0.0,2533,8310,9,258,Forest,64,-5.41
37.681126763427734,-119.0862630208008,28,91,0.017213973668030305,2532,8307,1,252,Forest,50,-4.2
37.680938796149974,-119.08650300962506,57,188,0.03569772079571099,2531,8304,2,227,Forest,51,-1.1
37.68078024430183,-119.086782785013,88,288,0.05453529961341092,2530,8301,3,239,Forest,51,-0.03
37.68067112399771,-119.08709085934512,118,386,0.0730123893404705,2530,8301,10,337,Forest,49,-1.13
37.68057823637379,-119.08741529087864,148,485,0.0918994249171273,2530,8301,5,309,N/A,28,-0.87
37.68050876885417,-119.08774061149303,178,583,0.11034554422841404,2529,8297,5,237,Shrub,31,-0.77
37.68047996579155,-119.08806776598743,207,678,0.12836569886971208,2529,8297,6,322,Shrub,33,-0.74
37.68042997120668,-119.08838129283149,235,770,0.1458742691008399,2528,8294,8,242,Shrub,0,-3.51
37.68043121498046,-119.08870401865944,263,864,0.16354173110260845,2528,8294,3,289,N/A,25,-1.56
37.680301944602924,-119.0889958324922,293,960,0.1818489856990682,2528,8294,1,332,Shrub,42,-0.02
37.68023853524893,-119.0893323898326,323,1060,0.2007883389332049,2527,8291,2,36,Forest,67,-3.9
37.680185502558956,-119.08967095393875,354,1160,0.219682220824343,2526,8287,6,245,Forest,32,-0.68
37.68004226033629,-119.08994364589515,382,1255,0.23759938192673474,2526,8287,4,142,Forest,65,-1.44
37.67985522686539,-119.09018022985252,412,1351,0.25590554167400376,2526,8287,1,170,Forest,64,-0.73
37.67984140461094,-119.09052247377493,442,1450,0.2746658156739974,2526,8287,3,159,Forest,67,3.3
37.67986296004159,-119.09086736066536,473,1550,0.2936051779732936,2526,8287,12,187,Forest,64,-0.36
37.67988451547535,-119.09121224760557,503,1650,0.31254453753737693,2526,8287,4,170,Forest,16,-0.95
37.67991203050134,-119.09155624401072,533,1750,0.3314722886604195,2526,8287,10,186,Shrub,22,2.04
37.68001334253161,-119.09187223755268,563,1849,0.35013664738437306,2527,8291,10,191,Forest,25,1.5
37.68009501761209,-119.09220008128656,594,1948,0.36895234261501625,2527,8291,10,167,Forest,29,2.85
37.680167315756094,-119.09253376502812,624,2048,0.3878917147839966,2528,8294,14,139,Forest,16,3.64
37.68023961393287,-119.09286744892094,655,2148,0.4068310783674901,2529,8297,13,154,Shrub,17,2.39
37.680326461239574,-119.09319419153556,685,2248,0.4257000662712894,2530,8301,11,171,Forest,19,3.57
